Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Avatar ,2009.0,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG-13,178.0,1.78,237000000.0,760505847.0,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,0.0,1000.0,936.0,855.0,4834,33000,0.0,886204,3054.0,723.0,7.9
Titanic ,1997.0,Drama|Romance,English,USA,PG-13,194.0,2.35,200000000.0,658672302.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,0.0,29000.0,14000.0,794.0,45223,26000,0.0,793059,2528.0,315.0,7.7
Jurassic World ,2015.0,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,124.0,2.0,150000000.0,652177271.0,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,365.0,3000.0,2000.0,1000.0,8458,150000,0.0,418214,1290.0,644.0,7.0
The Avengers ,2012.0,Action|Adventure|Sci-Fi,English,USA,PG-13,173.0,1.85,220000000.0,623279547.0,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,0.0,26000.0,21000.0,19000.0,87697,123000,3.0,995415,1722.0,703.0,8.1
The Dark Knight ,2008.0,Action|Crime|Drama|Thriller,English,USA,PG-13,152.0,2.35,185000000.0,533316061.0,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,22000.0,23000.0,13000.0,11000.0,57802,37000,0.0,1676169,4667.0,645.0,9.0
Star Wars: Episode I - The Phantom Menace ,1999.0,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG,136.0,2.35,115000000.0,474544677.0,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,0.0,20000.0,14000.0,1000.0,37723,13000,1.0,534658,3597.0,320.0,6.5
Star Wars: Episode IV - A New Hope ,1977.0,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG,125.0,2.35,11000000.0,460935665.0,George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,0.0,11000.0,1000.0,504.0,13485,33000,1.0,911097,1470.0,282.0,8.7
Avengers: Age of Ultron ,2015.0,Action|Adventure|Sci-Fi,English,USA,PG-13,141.0,2.35,250000000.0,458991599.0,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,0.0,26000.0,21000.0,19000.0,92000,118000,4.0,462669,1117.0,635.0,7.5
The Dark Knight Rises ,2012.0,Action|Thriller,English,USA,PG-13,164.0,2.35,250000000.0,448130642.0,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,22000.0,27000.0,23000.0,23000.0,106759,164000,0.0,1144337,2701.0,813.0,8.5
Shrek 2 ,2004.0,Adventure|Animation|Comedy|Family|Fantasy|Romance,English,USA,PG,93.0,1.85,150000000.0,436471036.0,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,80.0,692.0,309.0,48.0,1148,0,1.0,314630,483.0,205.0,7.2
